Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
England	GPE	they wanted to be shown how we have tables in England. I was next but one to the Marquis,	247	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Paris	GPE	had bad toothache, and said she must go to Paris to see her dentist Godmamma and Jean made as much	258	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
St. Germain	GPE	important calls; and Jean had promised to be at St. Germain to see some horses with the Vicomte, so Héloise	258	Saint-Germain, Yvelines, Île-de-France, FRA	Locality	City				Saint-Germain	Yvelines	Île-de-France	France	FRA	2.090400000000045	48.896430000000066	100	
Paris	GPE	for a month. We had no sooner got to Paris than Héloise felt better. She left me to go	258	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	Paris looked out-of-seasonish and full of Americans	259	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	Paris in August	260	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	him again to-morrow morning. I always like Paris even out of the season, don't you,	261	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	"some mistake, as ""Antoine"" was not in Paris. She was awfully shocked at the idea of my"	265	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	"not very good form to ""see"" people in Paris out of the Season—that one never was sure"	265	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	, dear Mamma. I shan't come up to Paris with French people again in a hurry!--Your affectionate daughter,	268	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Lavonnière	GPE	and I would go with them to the Foire at Lavonnière, a village about ten miles off. It is	272	La Vionnière, Ille-et-Vilaine, Bretagne, FRA	Locality	City				La Vionnière	Ille-et-Vilaine	Bretagne	France	FRA	-1.1089299999999298	48.07670000000007	88.42	
Versailles	GPE	, and in the last century every one went from Versailles, and even now lots of people who spend the	272	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
Tournelle	GPE	about six, and then picked up the party at Tournelle. They all went—the old Baron, and	274	Tournelle, Quai de la Marine, 89000, Auxerre, Yonne, Bourgogne-Franche-Comté, FRA	POI	Parking	Quai de la Marine	Marine		Auxerre	Yonne	Bourgogne-Franche-Comté	France	FRA	3.574390000000051	47.80079000000006	100	
Paris	GPE	season the Duc de Cressy's coach comes here from Paris every Thursday. Hippolyte was there already; he had	275	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Versailles	GPE	two other officers turned up. They had ridden from Versailles, which is near. Such extraordinary people sat at	275	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
England	GPE	, and they are much higher than the ones in England. Jean would come with me, though I wanted	284	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Paris	GPE	, so I asked him if he had been in Paris on Friday, and he looked so hard at me	285	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Versailles	GPE	that alas! no, he had been detained at Versailles. So it could not have been him after all	285	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
England	GPE	exactly alike, I never keep making these mistakes in England.	285	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
china	GPE	"the ""farings"" shop, and the prizes were china monsters and lanterns, etc. The Comtesse is a"	286	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Versailles	GPE	told us. He will have to ride back to Versailles, as there are no trains at that time,	296	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
Paris	GPE	done every minute of the time while we were in Paris. This is the first chance she has had with	297	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	I forgot to tell you about the morning we left Paris; Héloise went to see Adam again, and I	297	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
France	GPE	I said, and then I asked her if in France they also dried themselves in their wet chemises? But	302	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
