Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	"come back to London; for there is much of London in the letter: ""I should like to be"	31	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"the letter: ""I should like to be in London to-day—Bloomsbury London, Mayfair London,"	31	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Bloomsbury London	GPE	should like to be in London to-day—Bloomsbury London, Mayfair London, Chelsea London, London of the	31	Bloomsbury of London, 3 Northington Street, London, England, WC1N 2, GBR	POI	Specialty Store	3 Northington Street	Northington	3	London	London	England	United Kingdom	GBR	-0.11432999999993854	51.522200000000055	98.84	
Chelsea London	GPE	to-day—Bloomsbury London, Mayfair London, Chelsea London, London of the small restaurants and large draughts of	31	The Chelsea, London, England, SW1X 0, GBR	StreetName		The Chelsea	The Chelsea		London	London	England	United Kingdom	GBR	-0.1604799601065281	51.49972500349382	98.35	
London	GPE	—Bloomsbury London, Mayfair London, Chelsea London, London of the small restaurants and large draughts of wine,	31	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	of the small restaurants and large draughts of wine, London of the intellectual half-lights, drone of flippant	31	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	and racy epigrams, with a thin fog outside; London of a resigned good humour, of modulated debauch moving	31	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	But I would not like to be in London this month of November.	32	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	say that I would not like to spend it in London; for something happened which threw me in a great	34	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
South Kensington	GPE	uncomfortable little flat in Monday Road, which is in South Kensington, but for all the life and gaiety there is	34	South Kensington, Kensington and Chelsea, Greater London, England, GBR	Locality	District				Kensington and Chelsea	Greater London	England	United Kingdom	GBR	-0.18137034299996913	51.492758423000055	100	
South Kensington	GPE	looking back calmly on the eighteen months I spent in South Kensington, I can find here and there, through an	36	South Kensington, Kensington and Chelsea, Greater London, England, GBR	Locality	District				Kensington and Chelsea	Greater London	England	United Kingdom	GBR	-0.18137034299996913	51.492758423000055	100	
Piccadilly	GPE	", which she had begged to pick her up on Piccadilly in pity for her ""tired bones,"" and"	51	Piccadilly, Rotherham, South Yorkshire, England, GBR	Locality	District				Rotherham	South Yorkshire	England	United Kingdom	GBR	-1.3196892569999363	53.478642713000056	100	
Chelsea	GPE	was. And, unlike her more careless sisters of Chelsea, Hampstead, and Golders' Green, she did	52	Chelsea, MA, USA	Locality	City				Chelsea	Suffolk County	Massachusetts	United States	USA	-71.03236999999996	42.39376000000004	100	
Hampstead	GPE	And, unlike her more careless sisters of Chelsea, Hampstead, and Golders' Green, she did not make	52	Hampstead, QC, CAN	Locality	City				Hampstead	Communauté-Urbaine-de-Montréal	Québec	Canada	CAN	-73.64813499999997	45.480765000000076	100	
South Kensington	GPE	at this very moment of writing why those months in South Kensington seemed so overpoweringly dismal, and that even now it	54	South Kensington, Kensington and Chelsea, Greater London, England, GBR	Locality	District				Kensington and Chelsea	Greater London	England	United Kingdom	GBR	-0.18137034299996913	51.492758423000055	100	
Dikran	GPE	"he turned to me and said, ""Tea, Dikran?"" I would watch him through my smoke,"	64	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Prague	GPE	an alchemist living in a three-storied house in Prague, exiled from his native land of Russia for criticising	65	Prague, CZE	Locality	City				Prague	Prague	Prague	Czechia	CZE	14.432990000000075	50.07914000000005	100	
Russia	GPE	house in Prague, exiled from his native land of Russia for criticising too openly the size of the Czarina's	65	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Paris	GPE	not as I have always seen you, but in Paris, where rumour tells of you; in Paris,	66	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	in Paris, where rumour tells of you; in Paris, where your art was your hobby and life your	66	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	to illustrate the poems of François Villon! But in Paris, long ago, I see you, Nikolay,	67	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Dikran	GPE	"eye. ""That's a nasty bad word, Dikran. The being-at-home feeling is a"	71	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
England	GPE	—for of course I will write one, since England expects every young man to write a novel—the	75	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	, green, rustling trees, an unhurried pleasaunce in London's chaotic noises, and in winter because I like	80	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
yestreen	GPE	you hadn't much liked the tinge of vermilion in yestreen's sunset, for he had touched in that vermilion	80															nothing found
Persia	GPE	"She had, indeed, gone ""to find out""—to Persia, they said, on a splendid, despairing chase"	90	Persia, IA, USA	Locality	City				Persia	Harrison County	Iowa	United States	USA	-95.56854999999996	41.57906000000003	100	
Syria	GPE	Ishtar, who, in the guise of Astarte in Syria and Astaroth in Canaan, upset the gods and households	90	Syria	Locality	Country							Syria	SYR	38.50527333900004	35.01280854600003	100	
Canaan	GPE	in the guise of Astarte in Syria and Astaroth in Canaan, upset the gods and households of great peoples and	90	Canaan, ME, USA	Locality	City				Canaan	Somerset County	Maine	United States	USA	-69.56169999999997	44.762020000000064	100	
Rome	GPE	fit for nothing but to be conquered and to serve Rome and Byzantium as concubines and eunuchs?	90	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Byzantium	GPE	nothing but to be conquered and to serve Rome and Byzantium as concubines and eunuchs?	90	Byzantium, Istanbul, TUR	Locality	City				Byzantium		Istanbul	Republic of Turkiye	TUR	28.94966000000005	41.01384000000007	100	
Dikran	GPE	. I do all my grovelling then. And, Dikran! if you could only see me, if you	96	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Theodosia	GPE	"said. ""Many women have sworn that, from Theodosia to La Pompadour, but they have not died of"	99	Theodosia, Crimea Autonomous Republic	Locality	City					Feodosia	Crimea Autonomous Republic			35.381290000000035	45.03245000000004	100	
Dikran	GPE	"""Oh, don't be pedantic, Dikran, and don't worry me about what other women"	100	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Venice	GPE	adore to lie with his beloved in a gondola in Venice, looking at the stars; any Englishman who does	101	Venice, CA, USA	Locality	City				Venice	Los Angeles County	California	United States	USA	-118.47214999999994	33.987540000000024	100	
Dikran	GPE	they worship stone figures.... I went very mad, Dikran. He told me that he didn't deserve being	103	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Dikran	GPE	loved me—mark that glorious, arrogant think, Dikran!... He was very ambitious; with the sort	104	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
London	GPE	weeks between that horrible lunch and his going away! London love affairs are always scrappy, hole-in-	108	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	said he wasn't seeing enough of me, that London was getting between us, and that we must go	108	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Italy	GPE	under a wilderness of blue sky, more blue than Italy's because of the white and grey puffs of clouds	109	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Wales	GPE	played with those toy hills which are called mountains in Wales, and we were often silent because there was too	109	Wales, GBR	Locality	State or Province						Wales	United Kingdom	GBR	-3.7652226249999785	52.337163856000075	100	
London	GPE	sat silently facing each other in the train back to London, I knew I had won. There were three	109	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"""In London, he dropped me here at my house, and"	110	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	orders had been changed—he had to go to Paris first, spend two days there, and then to	110	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Marseilles	GPE	spend two days there, and then to Africa via Marseilles. 'To Paris?' I said, not	110	Marseilles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Marseille	Bouches-du-Rhône	Provence-Alpes-Côte d'Azur	France	FRA	5.3810700000000224	43.29695000000004	100	
Paris	GPE	, and then to Africa via Marseilles. 'To Paris?' I said, not understanding. 'Yes	110	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Wales	GPE	us, as though we hadn't ever been to Wales, or played, and laughed, and loved;	110	Wales, GBR	Locality	State or Province						Wales	United Kingdom	GBR	-3.7652226249999785	52.337163856000075	100	
England	GPE	I never thought of how he would come back to England soon, as he had said, and what we	113	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Wales	GPE	"""I stayed my week out in Wales, because I always try to do what is expected"	116	Wales, GBR	Locality	State or Province						Wales	United Kingdom	GBR	-3.7652226249999785	52.337163856000075	100	
Wales	GPE	which had arrived one hour after I had left for Wales. It was from Southampton, and it said:	116	Wales, GBR	Locality	State or Province						Wales	United Kingdom	GBR	-3.7652226249999785	52.337163856000075	100	
