Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Germany	GPE	African War that took you years! The flower of Germany fell at Gravelotte; that was human life with a	451	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Empire	GPE	that was human life with a vengeance! But an Empire rose out of my comrades' ashes. And that	451	Empire, CA, USA	Locality	City				Empire	Stanislaus County	California	United States	USA	-120.89932999999996	37.637920000000065	100	
Leicestershire	GPE	for Mr. Upton on the breakfast-table down in Leicestershire. This circumstance was not so usual as it sounds	455	Leicestershire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-1.1140699999999697	52.66667000000007	100	
London	GPE	Tony had told him where he hoped to stay in London, which Bompas particularly wished to know on account of	465	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	when due the day before, and his friends in London wired that they knew nothing about him.	482	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	as magically as an electric advertisement writes itself upon the London sky at night. The sense of possession is the	487	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Spartan	GPE	dressing-room, in which he also slept in Spartan simplicity, was the original powder-closet of the	502	Spartan, Ekurhuleni, Gauteng, ZAF	Locality	District				Ekurhuleni	Ekurhuleni	Gauteng	South Africa	ZAF	28.21574000000004	-26.116659999999968	100	
delightfuly	GPE	to the necessary care in shaving the corners of a delightfuly long and mobile mouth. Indeed, the whole face	514	Delightful, OH, USA	Locality	Village				Delightful	Trumbull County	Ohio	United States	USA	-80.92347999999998	41.28421000000003	92.18	
London	GPE	was no more luxuriant weed than an innate abhorrence of London and all Londoners, which neither the cause of his	515	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Londoners	GPE	luxuriant weed than an innate abhorrence of London and all Londoners, which neither the cause of his visit nor the	515	The Londoners, Štěpánská 650/23, 110 00, Praha 1, Praha, Hlavní město Praha, CZE	POI	East European Food	Štěpánská 650/23	Štěpánská	650/23	Praha	Hlavní město Praha	Hlavní město Praha	Česko	CZE	14.424900000000036	50.07776000000007	97.45	
London	GPE	the kind of reception one had to come up to London to incur. “Then I'll clear out!	517	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	a boy of sixteen, had disappeared up here in London, or been decoyed away. And now there can	531	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. John's	GPE	I've been in communication with these infernal people in St. John's Wood, and with the doctor, but none of	539	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
